iter    1 | reward:   3 | max_reward:   8 |  update_factor: 0.020000  lr: 0.199000 | sum_coeffs: 190 sum_abs_coeffs: 435200
iter   20 | reward:  20 | max_reward:  39 |  update_factor: 0.018532  lr: 0.180922 | sum_coeffs: -316 sum_abs_coeffs: 509878
iter   21 | reward:  20 | max_reward:  37 |  update_factor: 0.018458  lr: 0.180017 | sum_coeffs: -305 sum_abs_coeffs: 513142
iter   22 | reward:  21 | max_reward:  40 |  update_factor: 0.018384  lr: 0.179117 | sum_coeffs: -153 sum_abs_coeffs: 517713
iter   23 | reward:  21 | max_reward:  44 |  update_factor: 0.018310  lr: 0.178222 | sum_coeffs: -45 sum_abs_coeffs: 518986
iter   24 | reward:  21 | max_reward:  37 |  update_factor: 0.018237  lr: 0.177331 | sum_coeffs: 43 sum_abs_coeffs: 522401
iter   25 | reward:  23 | max_reward:  39 |  update_factor: 0.018164  lr: 0.176444 | sum_coeffs: -85 sum_abs_coeffs: 525140
iter   26 | reward:  24 | max_reward:  46 |  update_factor: 0.018091  lr: 0.175562 | sum_coeffs: -71 sum_abs_coeffs: 526685
iter   27 | reward:  24 | max_reward:  42 |  update_factor: 0.018019  lr: 0.174684 | sum_coeffs: -212 sum_abs_coeffs: 529219
iter   28 | reward:  25 | max_reward:  43 |  update_factor: 0.017947  lr: 0.173811 | sum_coeffs: -275 sum_abs_coeffs: 532534
iter   29 | reward:  24 | max_reward:  38 |  update_factor: 0.017875  lr: 0.172942 | sum_coeffs: -206 sum_abs_coeffs: 535534
iter   30 | reward:  24 | max_reward:  45 |  update_factor: 0.017803  lr: 0.172077 | sum_coeffs: -232 sum_abs_coeffs: 536962
iter   31 | reward:  22 | max_reward:  45 |  update_factor: 0.017732  lr: 0.171216 | sum_coeffs: -327 sum_abs_coeffs: 540417
iter   32 | reward:  22 | max_reward:  43 |  update_factor: 0.017661  lr: 0.170360 | sum_coeffs: -404 sum_abs_coeffs: 543696
iter   33 | reward:  23 | max_reward:  41 |  update_factor: 0.017590  lr: 0.169509 | sum_coeffs: -346 sum_abs_coeffs: 546670
iter   34 | reward:  24 | max_reward:  42 |  update_factor: 0.017520  lr: 0.168661 | sum_coeffs: -233 sum_abs_coeffs: 549662
iter   35 | reward:  18 | max_reward:  37 |  update_factor: 0.017450  lr: 0.167818 | sum_coeffs: -83 sum_abs_coeffs: 552979
iter   36 | reward:  23 | max_reward:  40 |  update_factor: 0.017380  lr: 0.166979 | sum_coeffs: -34 sum_abs_coeffs: 554461
iter   37 | reward:  22 | max_reward:  41 |  update_factor: 0.017310  lr: 0.166144 | sum_coeffs: 52 sum_abs_coeffs: 556459
iter   38 | reward:  23 | max_reward:  39 |  update_factor: 0.017241  lr: 0.165313 | sum_coeffs: 24 sum_abs_coeffs: 557887
iter   39 | reward:  23 | max_reward:  40 |  update_factor: 0.017172  lr: 0.164486 | sum_coeffs: 4 sum_abs_coeffs: 561004
iter   40 | reward:  23 | max_reward:  43 |  update_factor: 0.017103  lr: 0.163664 | sum_coeffs: 79 sum_abs_coeffs: 564390
iter   41 | reward:  24 | max_reward:  38 |  update_factor: 0.017035  lr: 0.162846 | sum_coeffs: 52 sum_abs_coeffs: 566156
iter   42 | reward:  24 | max_reward:  41 |  update_factor: 0.016966  lr: 0.162031 | sum_coeffs: 19 sum_abs_coeffs: 568856
iter   43 | reward:  26 | max_reward:  42 |  update_factor: 0.016899  lr: 0.161221 | sum_coeffs: 40 sum_abs_coeffs: 570859
iter   44 | reward:  23 | max_reward:  43 |  update_factor: 0.016831  lr: 0.160415 | sum_coeffs: 11 sum_abs_coeffs: 572944
iter   45 | reward:  26 | max_reward:  45 |  update_factor: 0.016763  lr: 0.159613 | sum_coeffs: 34 sum_abs_coeffs: 575058
iter   46 | reward:  27 | max_reward:  47 |  update_factor: 0.016696  lr: 0.158815 | sum_coeffs: 33 sum_abs_coeffs: 577199
iter   47 | reward:  26 | max_reward:  48 |  update_factor: 0.016630  lr: 0.158021 | sum_coeffs: 6 sum_abs_coeffs: 579258
iter   48 | reward:  24 | max_reward:  44 |  update_factor: 0.016563  lr: 0.157231 | sum_coeffs: -129 sum_abs_coeffs: 581857
iter   49 | reward:  21 | max_reward:  42 |  update_factor: 0.016497  lr: 0.156445 | sum_coeffs: -13 sum_abs_coeffs: 584309
iter   50 | reward:  22 | max_reward:  45 |  update_factor: 0.016431  lr: 0.155663 | sum_coeffs: 14 sum_abs_coeffs: 586830
iter   51 | reward:  24 | max_reward:  42 |  update_factor: 0.016365  lr: 0.154884 | sum_coeffs: 48 sum_abs_coeffs: 589367
iter   52 | reward:  24 | max_reward:  44 |  update_factor: 0.016299  lr: 0.154110 | sum_coeffs: 17 sum_abs_coeffs: 591016
iter   53 | reward:  25 | max_reward:  41 |  update_factor: 0.016234  lr: 0.153339 | sum_coeffs: -111 sum_abs_coeffs: 592741
iter   54 | reward:  21 | max_reward:  39 |  update_factor: 0.016169  lr: 0.152573 | sum_coeffs: 36 sum_abs_coeffs: 594328
iter   55 | reward:  23 | max_reward:  40 |  update_factor: 0.016104  lr: 0.151810 | sum_coeffs: 80 sum_abs_coeffs: 596795
iter   56 | reward:  23 | max_reward:  47 |  update_factor: 0.016040  lr: 0.151051 | sum_coeffs: 0 sum_abs_coeffs: 598795
iter   57 | reward:  27 | max_reward:  46 |  update_factor: 0.015976  lr: 0.150295 | sum_coeffs: 11 sum_abs_coeffs: 600830
iter   58 | reward:  26 | max_reward:  50 |  update_factor: 0.015912  lr: 0.149544 | sum_coeffs: -2 sum_abs_coeffs: 603068
iter   59 | reward:  24 | max_reward:  43 |  update_factor: 0.015848  lr: 0.148796 | sum_coeffs: 101 sum_abs_coeffs: 605024
iter   60 | reward:  23 | max_reward:  43 |  update_factor: 0.015784  lr: 0.148052 | sum_coeffs: 46 sum_abs_coeffs: 607163
iter   61 | reward:  25 | max_reward:  46 |  update_factor: 0.015721  lr: 0.147312 | sum_coeffs: 57 sum_abs_coeffs: 608674
iter   62 | reward:  24 | max_reward:  45 |  update_factor: 0.015658  lr: 0.146575 | sum_coeffs: 27 sum_abs_coeffs: 610470
iter   63 | reward:  23 | max_reward:  44 |  update_factor: 0.015596  lr: 0.145842 | sum_coeffs: 21 sum_abs_coeffs: 612167
iter   64 | reward:  25 | max_reward:  40 |  update_factor: 0.015533  lr: 0.145113 | sum_coeffs: 6 sum_abs_coeffs: 614293
iter   65 | reward:  24 | max_reward:  42 |  update_factor: 0.015471  lr: 0.144388 | sum_coeffs: -15 sum_abs_coeffs: 615872
iter   66 | reward:  24 | max_reward:  42 |  update_factor: 0.015409  lr: 0.143666 | sum_coeffs: -51 sum_abs_coeffs: 617894
iter   67 | reward:  25 | max_reward:  43 |  update_factor: 0.015347  lr: 0.142947 | sum_coeffs: 35 sum_abs_coeffs: 619445
iter   68 | reward:  27 | max_reward:  43 |  update_factor: 0.015286  lr: 0.142233 | sum_coeffs: 23 sum_abs_coeffs: 621098
iter   69 | reward:  25 | max_reward:  44 |  update_factor: 0.015225  lr: 0.141522 | sum_coeffs: -9 sum_abs_coeffs: 622415
iter   70 | reward:  25 | max_reward:  42 |  update_factor: 0.015164  lr: 0.140814 | sum_coeffs: 16 sum_abs_coeffs: 624416
iter   71 | reward:  25 | max_reward:  43 |  update_factor: 0.015103  lr: 0.140110 | sum_coeffs: 27 sum_abs_coeffs: 626193
iter   72 | reward:  22 | max_reward:  47 |  update_factor: 0.015042  lr: 0.139409 | sum_coeffs: -51 sum_abs_coeffs: 627982
iter   73 | reward:  22 | max_reward:  49 |  update_factor: 0.014982  lr: 0.138712 | sum_coeffs: 60 sum_abs_coeffs: 629645
iter   74 | reward:   1 | max_reward:   2 |  update_factor: 0.014922  lr: 0.138019 | sum_coeffs: 41 sum_abs_coeffs: 630335
iter   75 | reward:   1 | max_reward:   2 |  update_factor: 0.014862  lr: 0.137329 | sum_coeffs: 62 sum_abs_coeffs: 631246
iter   76 | reward:   1 | max_reward:   2 |  update_factor: 0.014803  lr: 0.136642 | sum_coeffs: 46 sum_abs_coeffs: 632016
iter   77 | reward:   1 | max_reward:   2 |  update_factor: 0.014744  lr: 0.135959 | sum_coeffs: 109 sum_abs_coeffs: 632506
iter   78 | reward:   1 | max_reward:   2 |  update_factor: 0.014685  lr: 0.135279 | sum_coeffs: 104 sum_abs_coeffs: 633250
iter   79 | reward:   1 | max_reward:   2 |  update_factor: 0.014626  lr: 0.134603 | sum_coeffs: 109 sum_abs_coeffs: 633687
