iter    1 | reward:   0 | max_reward:   2 |  update_factor: 0.040000  lr: 0.199000 | sum_coeffs: -126 sum_abs_coeffs: 7240
iter   20 | reward:  18 | max_reward:  25 |  update_factor: 0.037064  lr: 0.180922 | sum_coeffs: -162 sum_abs_coeffs: 9736
iter   21 | reward:  17 | max_reward:  29 |  update_factor: 0.036916  lr: 0.180017 | sum_coeffs: -147 sum_abs_coeffs: 9868
iter   22 | reward:  12 | max_reward:  27 |  update_factor: 0.036768  lr: 0.179117 | sum_coeffs: -114 sum_abs_coeffs: 9992
iter   23 | reward:  13 | max_reward:  28 |  update_factor: 0.036621  lr: 0.178222 | sum_coeffs: -112 sum_abs_coeffs: 10053
iter   24 | reward:  16 | max_reward:  29 |  update_factor: 0.036474  lr: 0.177331 | sum_coeffs: -127 sum_abs_coeffs: 10148
iter   25 | reward:  18 | max_reward:  27 |  update_factor: 0.036328  lr: 0.176444 | sum_coeffs: -145 sum_abs_coeffs: 10238
iter   26 | reward:  18 | max_reward:  31 |  update_factor: 0.036183  lr: 0.175562 | sum_coeffs: -169 sum_abs_coeffs: 10268
iter   27 | reward:  19 | max_reward:  35 |  update_factor: 0.036038  lr: 0.174684 | sum_coeffs: -184 sum_abs_coeffs: 10319
iter   28 | reward:  18 | max_reward:  32 |  update_factor: 0.035893  lr: 0.173811 | sum_coeffs: -185 sum_abs_coeffs: 10395
iter   29 | reward:  22 | max_reward:  29 |  update_factor: 0.035750  lr: 0.172942 | sum_coeffs: -194 sum_abs_coeffs: 10430
iter   30 | reward:  19 | max_reward:  37 |  update_factor: 0.035607  lr: 0.172077 | sum_coeffs: -199 sum_abs_coeffs: 10480
iter   31 | reward:  22 | max_reward:  38 |  update_factor: 0.035464  lr: 0.171216 | sum_coeffs: -205 sum_abs_coeffs: 10532
iter   32 | reward:  20 | max_reward:  30 |  update_factor: 0.035322  lr: 0.170360 | sum_coeffs: -218 sum_abs_coeffs: 10602
iter   33 | reward:  22 | max_reward:  34 |  update_factor: 0.035181  lr: 0.169509 | sum_coeffs: -175 sum_abs_coeffs: 10714
iter   34 | reward:  24 | max_reward:  29 |  update_factor: 0.035040  lr: 0.168661 | sum_coeffs: -160 sum_abs_coeffs: 10828
iter   35 | reward:  17 | max_reward:  29 |  update_factor: 0.034899  lr: 0.167818 | sum_coeffs: -155 sum_abs_coeffs: 10901
iter   36 | reward:  20 | max_reward:  27 |  update_factor: 0.034760  lr: 0.166979 | sum_coeffs: -176 sum_abs_coeffs: 10971
iter   37 | reward:  16 | max_reward:  34 |  update_factor: 0.034620  lr: 0.166144 | sum_coeffs: -155 sum_abs_coeffs: 11094
iter   38 | reward:  25 | max_reward:  38 |  update_factor: 0.034482  lr: 0.165313 | sum_coeffs: -149 sum_abs_coeffs: 11177
iter   39 | reward:  22 | max_reward:  49 |  update_factor: 0.034344  lr: 0.164486 | sum_coeffs: -171 sum_abs_coeffs: 11252
iter   40 | reward:  24 | max_reward:  38 |  update_factor: 0.034206  lr: 0.163664 | sum_coeffs: -162 sum_abs_coeffs: 11370
iter   41 | reward:  13 | max_reward:  23 |  update_factor: 0.034069  lr: 0.162846 | sum_coeffs: -142 sum_abs_coeffs: 11415
iter   42 | reward:  14 | max_reward:  23 |  update_factor: 0.033933  lr: 0.162031 | sum_coeffs: -146 sum_abs_coeffs: 11474
iter   43 | reward:  17 | max_reward:  26 |  update_factor: 0.033797  lr: 0.161221 | sum_coeffs: -163 sum_abs_coeffs: 11535
iter   44 | reward:  20 | max_reward:  37 |  update_factor: 0.033662  lr: 0.160415 | sum_coeffs: -186 sum_abs_coeffs: 11579
iter   45 | reward:  10 | max_reward:  41 |  update_factor: 0.033527  lr: 0.159613 | sum_coeffs: -162 sum_abs_coeffs: 11670
iter   46 | reward:  16 | max_reward:  31 |  update_factor: 0.033393  lr: 0.158815 | sum_coeffs: -181 sum_abs_coeffs: 11765
iter   47 | reward:  19 | max_reward:  30 |  update_factor: 0.033259  lr: 0.158021 | sum_coeffs: -189 sum_abs_coeffs: 11891
iter   48 | reward:  15 | max_reward:  37 |  update_factor: 0.033126  lr: 0.157231 | sum_coeffs: -172 sum_abs_coeffs: 11992
iter   49 | reward:  19 | max_reward:  33 |  update_factor: 0.032993  lr: 0.156445 | sum_coeffs: -197 sum_abs_coeffs: 12021
iter   50 | reward:  15 | max_reward:  38 |  update_factor: 0.032861  lr: 0.155663 | sum_coeffs: -184 sum_abs_coeffs: 12088
